empresa_cnpj,empresa_razaoSocial,processo_numero,peticao_expediente,peticao_dataEntrada,assunto_descricao,situacao_descricao,peticao_dataPublicacao,Tempo_Peticao
33069212000184,MERCK S/A,25351997435202063,3249196204,2020-09-23 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Medicamento Novo,Foi publicado o deferimento do processo ou da petição.,2021-06-28 00:00:00-03:00,278
8939548000103,INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A,25351988272201653,1536466166,2016-04-11 00:00:00-03:00,MEDICAMENTO FITOTERÁPICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2017-10-02 00:00:00-03:00,539
1571702000198,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,25351988265201619,1536456169,2016-04-11 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2019-11-25 00:00:00-03:00,1323
2433631000120,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,25351988255201603,1536436164,2016-04-11 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o deferimento do processo ou da petição.,2020-03-02 00:00:00-03:00,1421
17875154000120,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,25351986162202111,412979212,2021-02-01 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o indeferimento do processo ou da petição.,2022-12-19 00:00:00-03:00,686
3978166000175,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,25351985748201610,1524702163,2016-04-08 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2017-03-01 00:00:00-03:00,327
4301884000175,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,25351985201201606,1523812161,2016-04-08 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2022-02-21 00:00:00-03:00,2145
44734671000151,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,25351974242202115,4852324211,2021-12-07 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o indeferimento do processo ou da petição.,2024-07-15 00:00:00-03:00,951
44734671000151,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,25351973607202194,382608212,2021-01-29 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o deferimento do processo ou da petição.,2023-01-02 00:00:00-03:00,703
61286647000116,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,25351973348202100,382527212,2021-01-29 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2022-11-21 00:00:00-03:00,661
5399786000185,UNICHEM FARMACÊUTICA DO BRASIL LTDA,25351973072201648,1457789165,2016-04-05 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2019-02-25 00:00:00-03:00,1056
3978166000175,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,25351972059201607,1454115167,2016-04-04 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2017-06-26 00:00:00-03:00,448
60665981000118,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,25351969305202031,3168304205,2020-09-17 00:00:00-03:00,ESPECÍFICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2021-06-28 00:00:00-03:00,284
5035244000123,SUN FARMACÊUTICA DO BRASIL LTDA,25351969217201601,1444649169,2016-04-01 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2018-06-25 00:00:00-03:00,815
3485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,25351965696201650,1437120161,2016-03-31 00:00:00-03:00,MEDICAMENTO FITOTERÁPICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2018-03-12 00:00:00-03:00,711
48344725000719,ALTHAIA S.A. INDUSTRIA FARMACEUTICA,25351962807201630,1431298161,2016-03-30 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2017-05-02 00:00:00-03:00,398
60665981000118,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,25351954501202434,112600248,2024-01-30 08:27:23-03:00,ESPECÍFICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2025-08-18 00:00:00-03:00,565
60665981000118,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,25351954496202460,112620242,2024-01-30 08:24:26-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2025-04-07 00:00:00-03:00,432
18774815000193,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,25351954305202117,352876216,2021-01-27 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Medicamento Novo,Foi publicado o deferimento do processo ou da petição.,2022-03-02 00:00:00-03:00,399
18268051000164,CIPLA BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA,25351945600202425,96370244,2024-01-25 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2025-01-20 00:00:00-03:00,361
51780468000187,JANSSEN-CILAG FARMACEUTICA LTDA,25351945586202460,96322244,2024-01-25 00:00:00-03:00,MEDICAMENTO NOVO - Registro de medicamento novo (novo IFA) – via de desenvolvimento completo,Foi publicado o deferimento do processo ou da petição.,2025-07-02 00:00:00-03:00,524
31731807000128,SPECIALTY PHARMA GOIAS LTDA,25351940665202051,3086829207,2020-09-11 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Medicamento Novo,Foi publicado o deferimento do processo ou da petição.,2021-06-07 00:00:00-03:00,269
5399786000185,UNICHEM FARMACÊUTICA DO BRASIL LTDA,25351939278201665,1373494166,2016-03-18 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2019-01-07 00:00:00-03:00,1025
61082426000207,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,25351938364202148,320155214,2021-01-25 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Concentração Nova no País,Foi publicado o deferimento do processo ou da petição.,2023-04-17 00:00:00-03:00,812
17115437000173,LABORATORIO GLOBO SA,25351933753202004,3069723209,2020-09-10 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o deferimento do processo ou da petição.,2022-05-02 00:00:00-03:00,599
3485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,25351933375201699,1364364169,2016-03-16 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o indeferimento do processo ou da petição.,2019-02-04 00:00:00-03:00,1055
92695691000103,KLEY HERTZ FARMACEUTICA S.A,25351933347201691,1364332161,2016-03-16 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o indeferimento do processo ou da petição.,2018-01-08 00:00:00-03:00,663
1858973000129,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.,25351931677201676,1362214165,2016-03-16 00:00:00-03:00,PRODUTO TRADICIONAL FITOTERÁPICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2018-04-02 00:00:00-03:00,747
6628333000146,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,25351927963202055,3054076203,2020-09-09 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2023-04-10 00:00:00-03:00,943
60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,25351927837202181,4806127211,2021-12-06 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o deferimento do processo ou da petição.,2023-02-22 00:00:00-03:00,443
44363661000157,GLENMARK FARMACÊUTICA LTDA,25351927386201649,1355982166,2016-03-14 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2017-02-20 00:00:00-03:00,343
5161069000110,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,25351925079202086,3044713205,2020-09-08 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2022-06-20 00:00:00-03:00,650
24633934000129,Camber Farmaceutica Ltda,25351921897202191,4797201217,2021-12-06 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o deferimento do processo ou da petição.,2024-04-29 00:00:00-03:00,875
5035244000123,SUN FARMACÊUTICA DO BRASIL LTDA,25351919417201664,1343229160,2016-03-09 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2017-09-04 00:00:00-03:00,544
79634572000182,AS ERVAS CURAM INDUSTRIA FARMACEUTICA LTDA,25351914550201656,1336570163,2016-03-08 00:00:00-03:00,MEDICAMENTO FITOTERÁPICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2019-08-12 00:00:00-03:00,1252
